YEAR	CODE	CHANGE	TENTURE	ROE	MEDIA	S0	AGE	INDUSTRY	ASSET	ROA	RETURN	DEBTRATIO	S1	S12	BOARDSIZE	CEOSTOCK	CONTROL
2000	4	0	0.5	28.2566	0	7.314154684	39	F	508206707.1	8.0603	0.880588989	76.21	37.94	30.54	8	0	1
2001	4	0	1.5	12.0088	0	7.328443328	40	F	222008804.8	3.8576	-0.241512065	46.0723	37.94	30.53	9	0	1
2002	4	0	2.5	5.7751	0	7.328545489	42	F	263614606.3	5.4624	-0.359317863	52.9541	37.94	30.53	8	0	1
2003	4	0	3.5	3.9051	0	7.327652869	43	F	237875156	5.0902	-0.253421311	46.014	37.94	30.54	9	0	1
2004	4	1	4.5	-4.1505	0	7.325126099	44	F	214270248.8	-0.4868	-0.576270477	42.7696	37.94	30.53	9	0	1
2005	4	1	1.3	-15.0802	0	7.312384104	50	F	155868770.9	-9.6016	-0.269311562	35.8844	37.94	30.53	9	0	1
1999	6	0	2	8.6817	0	6.710612874	51	J	3495369520	5.1173	0.277825901	66.0477	28.02	23.08	12	0	1
2000	6	0	3	10.8527	0	6.710736485	52	J	3787811194	5.5982	0.202677882	66.6313	28.02	23.08	11	0	1
2001	6	0	4	9.7706	0	6.711041489	53	J	4198785542	4.6511	-0.208974092	68.7292	28.02	23.08	11	0	1
2002	6	1	5	-0.6436	0	6.710531879	54	J	4398699821	1.1671	-0.304761075	71.5047	28.02	23.08	11	0	1
2003	6	0	0	-18.4264	0	6.710199671	48	J	3961400435	-3.4744	-0.223323013	73.3698	28.02	23.08	9	0	1
2004	6	0	1	6.5904	0	6.710199671	49	J	4009106316	2.8189	-0.275124498	72.105	28.02	23.08	10	0	1
2005	6	0	2	10.6825	0	6.71079311	50	J	2541634479	5.227	1.039130087	56.0089	28.02	23.08	8	0	1
2004	7	0	0	-91.4863	0	6.743947873	66	J	1048420272	-12.3303	-0.569607613	90.9256	28	22.65	11	0	0
2005	7	0	1	10.0899	0	6.743947873	67	J	854288325.1	4.2262	-0.011516352	87.2991	28	22.65	12	0	0
2001	7	0	0	13.7112	0	7.028314901	36	J	1102173564	3.4463	-0.253703323	82.979	32.97	27.62	7	0	1
2002	7	0	1	12.7202	0	7.028314901	37	J	1150916322	4.2603	-0.18172443	77.3324	32.97	27.62	9	0	1
2003	7	1	2	6.931	0	6.743947873	38	J	1117684181	5.4238	-0.238242593	76.3461	28	22.65	11	0	0
1999	7	0	7	0.4891	0	7.030070252	57	J	1105732611	1.7758	0.390226426	69.9469	32.96	27.61	5	0.0004074	1
2000	7	1	8	-93.7937	0	7.027730311	58	J	951889239.6	-15.4409	0.162844745	85.5058	32.96	27.61	5	0.000678999	1
2001	10	0	1	1.1517	0	6.871075631	36	H	294234118.1	3.3502	-0.283819359	43.6982	24.07	5.03	11	0	0
2002	10	1	2	7.7458	0	6.871075631	37	H	649944407.7	9.6184	-0.287765319	52.2747	24.07	5.03	13	0	0
2003	10	1	1	4.2264	0	6.871075631	39	H	866781212.6	6.6511	-0.123970061	60.2121	24.07	5.03	15	0	0
2004	10	1	1	-9.224	0	6.871075631	54	H	862143244	3.203	-0.544966671	59.8615	24.07	5.03	15	0	0
2001	12	0	1	8.2267	0	6.25354204	46	C	2698960790	6.6404	-0.175399078	30.314	12.88	0	12	0	1
2002	12	0	2	8.6999	0	6.141338021	47	C	2985326851	7.3666	-0.397351909	33.5463	12.98	0.1	9	0	1
2003	12	0	3	10.1457	0	6.141125592	48	C	3516065351	7.7772	0.038354423	37.3424	12.98	0.1	9	0	1
2004	12	0	4	15.2689	0	6.187407493	49	C	4740610244	10.3898	-0.330854288	48.1675	12.98	0.1	9	0	1
2005	12	1	5	13.1708	2	6.183389221	50	C	5523323511	9.2642	0.778895281	50.8313	12.98	0.1	9	0	0
2000	12	1	1	9.175	0	6.544879579	45	C	2824842003	7.5468	-0.202269739	33.0891	15.13	2.25	11	0	0
2000	19	0	1	3.6717	0	8.197229909	56	C	426110873.6	4.5337	0.00043098	32.0259	59.95	54.01	9	0	1
2001	19	0	2	3.6867	0	8.137506116	56	C	400884004.1	4.1294	-0.12627299	18.2292	58.23	52.79	9	0	1
2002	19	1	3	3.588	0	8.30745765	57	C	452696870	3.2575	-0.27001261	36.2227	63.67	63.39	8	0	1
1999	19	1	3	10.3032	0	8.197266731	49	C	470146337.7	8.8584	1.173471039	38.4482	59.95	54.01	6	0	1
1999	20	0	2	3.2161	0	7.112314894	57	C	485131946.8	3.2989	0.483486669	36.1117	22.06	0	5	0	1
2000	20	1	3	0.9614	0	7.109242904	58	C	466966587.6	1.4889	0.869383931	35.8989	22.06	0	7	0	1
2001	20	0	1	1.0323	0	6.955598995	56	C	450225732.3	1.9504	-0.331364643	35.4153	22.06	0	7	0	1
2002	20	0	2	1.8332	0	6.946562638	57	C	479016730.7	2.6988	-0.427831335	38.6274	22.06	0	7	0	1
2003	20	0	3	-2.7111	0	6.940520392	58	C	476380522.5	-0.1877	-0.222996471	41.9417	22.06	0	7	0	1
2004	20	0	4	-17.4295	0	6.940520392	59	C	429708402	-8.2561	-0.627617106	45.9548	22.06	0	7	0	1
2005	20	1	5	2.8114	0	6.94030175	60	C	389185291.7	3.139	0.182848327	38.6259	22.06	0	7	0	1
2004	21	0	0	8.8092	0	8.087924636	44	G	4007567776	5.8218	-0.403475319	33.5572	55.96	46.55	9	0	1
2005	21	0	1	11.4071	2	8.087933361	45	G	4272122655	8.0632	0.472295667	32.8799	55.96	46.55	9	0	1
1999	21	0	5	15.1324	0	8.093432485	57	G	3822434473	9.7862	0.817716213	42.0565	55.96	46.55	7	0.00029226	1
2000	21	0	6	6.6459	0	8.093415558	58	G	3874861638	4.7969	-0.408931102	39.8947	55.96	46.55	7	0.00029226	1
2001	21	0	7	-0.3978	0	8.087825735	60	G	4645331162	0.4525	-0.361959709	50.0332	55.96	46.55	7	0.00029226	1
2002	21	0	8	2.6671	1	8.087825735	60	G	5046228088	2.6512	0.00927136	54.7199	55.96	46.55	9	0.00029226	1
2003	21	1	9	9.301	1	8.087825735	61	G	4388784905	6.0081	0.177525228	42.848	55.96	46.55	9	0.00029226	1
1999	22	1	5.4	7.005	0.5	8.151060463	43	F	1747586132	6.9339	0.460159671	31.3536	58.84	57.3	8	0.000112708	0
1999	23	0	4	8.922	0	8.40072234	53	E	737676159.7	5.9908	0.915887541	62.326	66.71	66.57	11	0.000197368	1
2000	23	0	5	6.7574	0	8.400826373	54	E	828554545.2	4.6113	0.121790267	64.9752	66.71	66.13	11	0.000197368	1
2001	23	0	6	-80.0109	0	8.400758921	55	E	860150007.8	-22.6101	-0.291438758	76.7058	66.71	66.44	10	0.000197368	1
2002	23	1	7	4.0014	0	7.746778715	56	E	727234142.2	3.6168	-0.331641073	67.7747	40	13.29	12	0.000197368	1
2003	23	1	1	2.7671	0	7.746531937	44	E	723461072.4	3.7358	-0.185116295	66.5904	40	13.29	13	0.000050448	1
2000	24	0	1	11.986	0	7.113082661	59	J	4888827687	9.3141	0.161539169	48.7376	32.94	21.96	13	0	1
2001	24	1	2	7.9549	0	7.112623245	60	J	4692619143	6.6388	-0.143469412	49.3953	32.94	21.96	12	0	1
2002	24	0	0	10.3018	0	7.112623245	44	J	5268964574	6.8049	-0.109392266	50.1864	32.94	21.96	15	0	1
2003	24	0	1	11.8807	0	6.954227616	45	J	5923647954	8.1213	0.056322645	43.8837	30.43	20.29	9	0	1
2004	24	0	2	10.9526	1	6.962574754	46	J	8454998786	6.7629	-0.04459378	57.9775	30.43	20.29	9	0	1
2005	24	0	3	11.6668	1.5	6.961449968	46	J	8936565336	6.159	0.736454656	56.4853	30.43	20.29	11	0	1
1999	24	1	2	12.4953	0	7.479486351	56	J	3886228397	8.9581	0.337581027	55.0017	39.58	26.36	13	0	1
1999	25	1	1.5	-38.0209	0	8.565871464	43	M	876150224.4	-7.5603	0.764587318	73.9222	72.45	72.08	6	0	1
2000	25	0	1	-75.0296	0	8.565858986	49	M	766478943.8	-9.762	0.036515701	87.1354	72.45	72.11	9	0	1
2001	25	0	2	2.8648	0	8.565982384	50	M	1368433165	2.5123	-0.139950924	78.799	72.45	71.75	7	0	1
2002	25	1	3	-17.4442	0	8.565870244	52	M	1232230347	-0.5346	-0.470339438	81.2318	72.45	71.95	9	0	1
1999	26	0	4	5.5816	0	7.917877899	57	C	821940796.8	4.1416	0.428037193	28.16	52.24	48.42	6	0.000499025	1
2000	26	0	5	2.4981	0	7.917252343	58	C	781982535.2	2.0996	0.568133906	23.0114	52.24	48.42	6	0.000499025	1
2001	26	1	6	1.9174	0	7.91198553	59	C	725845783	1.0204	0.070536937	18.04	52.24	51.5	6	0.000499025	1
2002	26	0	0	-14.1025	0	7.911901198	40	C	566681393	-11.6189	-0.352015786	8.7518	52.24	51.66	8	0	1
2003	26	0	1	0.992	0	7.911746913	41	C	572847496	0.8611	-0.213077999	8.7489	52.24	52.03	9	0	1
